SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Number
SOMICONVEY,EQ,20.4,21.5,20,21.1,21.5,20.75,1885,39036.3,29-Oct-20,54,INE323J01019,1652
SONAMCLOCK,SM,60.5,60.5,60.5,60.5,60.5,61,3000,181500,29-Oct-20,1,INE00LM01011,1653
SONATSOFTW,EQ,345.1,345.1,323.2,326.9,325.45,348.1,538637,178378088.8,29-Oct-20,19533,INE269A01021,1654
SORILINFRA,EQ,68.6,70,64.95,65.25,65.8,69.7,133515,8855018.75,29-Oct-20,1953,INE034H01016,1655
SOTL,EQ,705,719.95,695.05,703.75,705,722.25,5230,3694683.6,29-Oct-20,627,INE035D01012,1656
SOUTHBANK,EQ,6.5,6.55,6.4,6.45,6.45,6.55,4167239,27000758.9,29-Oct-20,100737,INE683A01023,1657
SOUTHWEST,EQ,40,40.9,39.15,39.55,40,39.05,35036,1390676.45,29-Oct-20,270,INE980Y01015,1658
SPAL,EQ,132,137.95,125.1,134.45,136,135.75,47106,6275297.4,29-Oct-20,1449,INE212I01016,1659
SPANDANA,EQ,544,544.15,531.5,540.05,542,545.45,13540,7285063.2,29-Oct-20,1646,INE572J01011,1660
SPARC,EQ,166.5,167.05,163,164.85,163,167.05,172540,28538902,29-Oct-20,3223,INE232I01014,1661
SPCENET,EQ,1.2,1.2,1.2,1.2,1.2,1.2,1322,1586.4,29-Oct-20,3,INE970N01027,1662
SPECIALITY,EQ,33.55,34.1,33.1,33.8,34.1,33.9,22917,770261.45,29-Oct-20,234,INE247M01014,1663
SPENCERS,EQ,75,75.75,74.15,74.9,74.9,74.85,134538,10089616.75,29-Oct-20,1511,INE020801028,1664
SPENTEX,BZ,0.55,0.55,0.55,0.55,0.55,0.6,11000,6050,29-Oct-20,5,INE376C01020,1665
SPIC,EQ,17.15,18.1,17.05,17.3,17.3,17.65,83028,1447204,29-Oct-20,308,INE147A01011,1666
SPICEJET,EQ,50.1,50.65,49.65,49.9,49.9,50.65,903195,45153797,29-Oct-20,4554,INE285B01017,1667
SPLIL,EQ,28.3,29.55,28.25,29.1,29.25,28.85,7877,228795.7,29-Oct-20,83,INE978G01016,1668
SPMLINFRA,EQ,8,8,7.6,7.95,7.95,7.85,3970,31134.6,29-Oct-20,29,INE937A01023,1669
SPTL,EQ,2.6,2.7,2.55,2.55,2.55,2.65,1544567,3970608.2,29-Oct-20,481,INE501W01021,1670
SPYL,BE,0.35,0.35,0.25,0.25,0.3,0.3,192026,57755.4,29-Oct-20,76,INE268L01020,1671
SREEL,EQ,134.4,134.4,127.15,129.6,129.9,129.05,4708,611149.45,29-Oct-20,172,INE099F01013,1672
SREIBNPNCD,NL,940,940,940,940,940,934,50,47000,29-Oct-20,3,INE881J07EN8,1673
SREIBNPNCD,NO,915,918.5,890,891,891,900,92,82669,29-Oct-20,5,INE881J08573,1674
SREIBNPNCD,NU,840,840,840,840,840,896,20,16800,29-Oct-20,1,INE881J08631,1675
SREIBNPNCD,NV,830,830,760,760,760,800,31,23630,29-Oct-20,3,INE881J08649,1676
SREIBNPNCD,NX,931,931,902.05,902.07,902.05,932.5,150,136178.5,29-Oct-20,8,INE872A07UA9,1677
SREIBNPNCD,NY,969.8,969.8,969.8,969.8,969.8,950,75,72735,29-Oct-20,2,INE872A07UB7,1678
SREIBNPNCD,Y2,900.83,925,900.83,925,925,930,25,22762.45,29-Oct-20,2,INE872A07UJ0,1679
SREIBNPNCD,Y4,982.6,982.6,982.6,982.6,982.6,960.41,49,48147.4,29-Oct-20,4,INE872A07UN2,1680
SREIBNPNCD,Y6,1199,1199,1199,1199,1199,1196,30,35970,29-Oct-20,2,INE872A07UP7,1681
SREIBNPNCD,Y8,765.68,795,765,795,795,765,500,388599,29-Oct-20,6,INE872A07UR3,1682
SREINFRA,EQ,6.4,6.45,6.25,6.3,6.3,6.4,369841,2337593,29-Oct-20,525,INE872A01014,1683
SRF,EQ,4349.9,4472,4325,4438.4,4460,4372.45,144393,637154850.6,29-Oct-20,13599,INE647A01010,1684
SRHHYPOLTD,EQ,174.5,174.9,170.05,172.8,174,174.45,7080,1216575.45,29-Oct-20,339,INE917H01012,1685
SRIPIPES,EQ,120.75,122.3,118.3,121.4,121,120.9,128091,15460074.9,29-Oct-20,1890,INE943C01027,1686
SRPL,EQ,30,34.9,30,32.5,32.35,30.2,16560,537370.9,29-Oct-20,138,INE008Z01012,1687
SRTRANSFIN,EQ,700,705.7,682.25,699.1,699.2,712.2,2937515,2038484382,29-Oct-20,57642,INE721A01013,1688
SRTRANSFIN,Y9,1037.08,1041.94,1037.08,1037.39,1037.17,1036,52,53941.48,29-Oct-20,4,INE721A07HJ6,1689
SRTRANSFIN,YB,1014.95,1014.95,1010.01,1010.9,1012,1010.15,92,93007.45,29-Oct-20,3,INE721A07HL2,1690
SRTRANSFIN,YG,1986,1986,1986,1986,1986,1985,10,19860,29-Oct-20,1,INE721A07HO6,1691
SRTRANSFIN,YI,990.08,991,990.08,991,991,993.9,70,69351.6,29-Oct-20,2,INE721A07NU1,1692
SRTRANSFIN,YJ,1016.01,1022,1016.01,1020.5,1019,1017,105,106958.3,29-Oct-20,6,INE721A07NV9,1693
SRTRANSFIN,YK,999,1003,999,1002.37,1003,1000,520,520209.6,29-Oct-20,16,INE721A07NW7,1694
SRTRANSFIN,YL,1002,1011,1002,1011,1011,1015,35,35160,29-Oct-20,4,INE721A07NX5,1695
SRTRANSFIN,YN,1196,1196.2,1196,1196.2,1196.2,1196.9,144,172232.8,29-Oct-20,2,INE721A07NZ0,1696
SRTRANSFIN,YQ,1002,1002,1001,1001.95,1001,1000,42,42082,29-Oct-20,2,INE721A07OD5,1697
SRTRANSFIN,YR,1010,1010,1002.1,1002.1,1002.1,1009.18,230,231242,29-Oct-20,6,INE721A07OE3,1698
SRTRANSFIN,YX,1053.1,1053.1,1053,1053,1053,1064.94,200,210600.2,29-Oct-20,5,INE721A07OO2,1699
SRTRANSFIN,YZ,1126.89,1126.89,1119.99,1119.99,1119.99,1130,105,117992.25,29-Oct-20,3,INE721A07OQ7,1700
SRTRANSFIN,Z1,1152,1152,1152,1152,1152,1142,20,23040,29-Oct-20,1,INE721A07OR5,1701
SRTRANSFIN,Z4,990,990,990,990,990,990,50,49500,29-Oct-20,1,INE721A07OZ8,1702
SRTRANSFIN,ZA,1079,1098,1078.05,1094,1098,1078,400,435139.55,29-Oct-20,11,INE721A07PF7,1703
SRTRANSFIN,ZD,995,995,995,995,995,994.9,10,9950,29-Oct-20,1,INE721A07PI1,1704
SRTRANSFIN,ZF,997,1019,997,1011.08,1010,1000,240,242660,29-Oct-20,3,INE721A07PK7,1705
SRTRANSFIN,ZG,1037.8,1037.8,1037.8,1037.8,1037.8,1036.08,60,62268,29-Oct-20,1,INE721A07PL5,1706
SRTRANSFIN,ZH,1022.3,1022.3,1022.3,1022.3,1022.3,1009.9,32,32713.6,29-Oct-20,1,INE721A07PM3,1707
SRTRANSFIN,ZI,966.5,966.5,966.5,966.5,966.5,995,3,2899.5,29-Oct-20,1,INE721A07PN1,1708
SRTRANSFIN,ZJ,1019,1019,1019,1019,1019,1019,196,199724,29-Oct-20,2,INE721A07PO9,1709
SRTRANSFIN,ZK,949,999,949,999,999,998,100,97400,29-Oct-20,3,INE721A07PP6,1710
SSWL,EQ,487.15,496.8,473.5,478.15,476,496.4,35009,16948009.75,29-Oct-20,2089,INE802C01017,1711
STAR,EQ,740.5,748.85,646.1,674.15,685.35,749.05,2741466,1909185697,29-Oct-20,60545,INE939A01011,1712
STARCEMENT,EQ,82.7,83.7,81.7,83.05,83.2,82.85,266871,22119518,29-Oct-20,3223,INE460H01021,1713
STARPAPER,EQ,90.15,90.8,89.5,90.25,90.05,90.2,18337,1650986.05,29-Oct-20,379,INE733A01018,1714
STCINDIA,EQ,52.85,54.9,51.25,52.55,52.5,51.85,15755,837120.6,29-Oct-20,245,INE655A01013,1715
STEELCITY,EQ,30.3,30.3,29.1,29.5,29.5,29.85,1081,31916.4,29-Oct-20,6,INE395H01011,1716
STEELXIND,EQ,32.45,34.2,31.45,32.65,34,32.5,23380,753960.65,29-Oct-20,87,INE503B01013,1717
STEL,EQ,53.05,55.5,52.15,53.45,53.85,53.3,7939,427361,29-Oct-20,178,INE577L01016,1718
STERTOOLS,EQ,172.9,175.95,170.35,174.65,174.75,173.6,2823,487422.55,29-Oct-20,133,INE334A01023,1719
STLTECH,EQ,150.15,151,147.8,148.3,148,151.3,236782,35316623.85,29-Oct-20,3242,INE089C01029,1720
SUBCAPCITY,BE,25.1,25.1,25.1,25.1,25.1,26.4,194,4869.4,29-Oct-20,6,INE845C01016,1721
SUBROS,EQ,281,283,271.3,280.15,281,281,69758,19505757.7,29-Oct-20,2089,INE287B01021,1722
SUDARSCHEM,EQ,453.95,453.95,444.4,445.7,446.2,455.6,100710,45131411.85,29-Oct-20,3721,INE659A01023,1723
SUJANAUNI,BE,0.3,0.35,0.25,0.3,0.3,0.3,142612,41044.6,29-Oct-20,83,INE216G01011,1724
SUMEETINDS,EQ,2.25,2.35,2.25,2.25,2.25,2.35,27496,62352.2,29-Oct-20,36,INE235C01010,1725
SUMICHEM,EQ,269.9,273.7,266.05,267.6,267.45,270.25,196510,53007589.75,29-Oct-20,5005,INE258G01013,1726
SUMIT,EQ,8.8,8.8,8.3,8.35,8.35,8.55,14499,120986.5,29-Oct-20,68,INE748Z01013,1727
SUMMITSEC,EQ,380.95,396.05,376.35,391.6,391.6,396.2,834,325403.8,29-Oct-20,64,INE519C01017,1728
SUNCLAYLTD,EQ,1624.25,1642.15,1624.2,1631.45,1641,1651.15,646,1054192.35,29-Oct-20,102,INE105A01035,1729
SUNDARAM,EQ,1.2,1.2,1.15,1.2,1.2,1.15,41830,49304.8,29-Oct-20,81,INE108E01023,1730
SUNDARMFIN,EQ,1469.8,1498.45,1436.95,1486.8,1485,1468.95,47010,69841819.05,29-Oct-20,6350,INE660A01013,1731
SUNDARMHLD,EQ,53.9,55.55,53.9,54.95,55.55,53.95,26863,1472623.65,29-Oct-20,440,INE202Z01029,1732
SUNDRMBRAK,EQ,223,227,217.9,219.1,219,224.95,2419,534055.95,29-Oct-20,226,INE073D01013,1733
SUNDRMFAST,EQ,420,423.45,413.6,418.7,419.25,422.5,25809,10808178.15,29-Oct-20,2657,INE387A01021,1734
SUNFLAG,EQ,43.15,44,42.6,43.3,43.25,43.05,92222,4000904.2,29-Oct-20,660,INE947A01014,1735
SUNPHARMA,EQ,463,464,452.25,456.35,457.5,463.4,8297097,3800365829,29-Oct-20,97201,INE044A01036,1736
SUNTECK,EQ,267.85,271.45,258.55,261.9,260.5,266.4,173320,45777390.8,29-Oct-20,8143,INE805D01034,1737
SUNTV,EQ,418,422.5,415.2,420.2,421.9,422.55,833795,348779844.3,29-Oct-20,11860,INE424H01027,1738
SUPERHOUSE,EQ,84.45,85.85,83.3,83.75,83.8,83.9,6814,577177.95,29-Oct-20,154,INE712B01010,1739
SUPERSPIN,EQ,3.4,3.4,3.25,3.3,3.3,3.3,2052,6899.8,29-Oct-20,14,INE662A01027,1740
SUPPETRO,EQ,256.55,262.95,246.8,251.25,257.9,261.8,45652,11623031.6,29-Oct-20,2103,INE663A01017,1741
SUPRAJIT,EQ,179.5,180.45,176.45,178.4,178.9,180.85,80714,14378602.25,29-Oct-20,3187,INE399C01030,1742
SUPREMEIND,EQ,1450,1475,1436,1473.2,1468.5,1459.2,128027,188117449.8,29-Oct-20,9893,INE195A01028,1743
SUPREMEINF,BZ,8.05,8.05,8.05,8.05,8.05,8.45,350,2817.5,29-Oct-20,2,INE550H01011,1744
SURANASOL,EQ,6.95,6.95,6.75,6.85,6.85,6.75,6768,46005.45,29-Oct-20,33,INE272L01022,1745
SURANAT&P,EQ,3.7,3.95,3.7,3.75,3.75,3.75,6900,26278.5,29-Oct-20,15,INE130B01031,1746
